docdb_family_id,earliest_year,office,bloc,family_size,similarity,ai_score,found_by_query,band,era,g06n,cluster,neuro,ml
14400305,1975,JP,JP,1,0.7285,0.6816,cross:MEG|speech communication,E,pre2010,0,,,
14464206,1977,JP,JP,1,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
14794432,1975,JP,JP,1,0.7285,0.6895,cross:MEG|speech communication,E,pre2010,0,,,
14892575,1976,JP,JP,1,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
15149571,1975,JP,JP,1,0.7285,0.6934,cross:MEG|speech communication,E,pre2010,0,,,
18784284,2000,JP,JP,1,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
19104488,2001,JP,JP,1,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
22473697,1998,US,US,1,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
23054608,1981,US,US,7,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
23344767,1973,US,US,1,0.7285,0.6973,cross:MEG|speech communication,E,pre2010,0,,,
25032215,2001,US,US,2,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
26981867,1990,US,US,1,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
27042472,1991,US,US,1,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
27420596,1998,US,US,1,0.7285,0.6777,cross:MEG|speech communication,E,pre2010,0,,,
27572623,1987,EP,EP,3,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
31719893,2003,DE,EP,4,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
35061666,2005,US,US,1,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
37865243,2005,EP,EP,7,0.7285,0.6914,cross:MEG|speech communication,E,pre2010,0,,,
39526892,2006,US,US,2,0.7285,0.0,cross:MEG|speech communication,E,pre2010,0,,,
47522323,2012,EP,EP,3,0.7285,0.0,cross:MEG|speech communication,E,2010s,0,,,
51129558,2012,KR,KR,1,0.7285,0.6973,cross:MEG|speech communication,E,2010s,0,,2,1
52293716,2011,UA,OTHER,1,0.7285,0.6895,cross:MEG|speech communication,E,2010s,0,,,
